date,biz_name,total_count,push_rate,violation_rate,review_count,reject_count,error_value,base_status,source_file,day,biz_group,push_rate_pct,violation_rate_pct,total_7d_avg,push_rate_7d_avg,violation_rate_7d_avg,review_7d_avg,total_vs_7d_pct,push_vs_7d_pct,vio_vs_7d_pct,freshness_days,status,is_abnormal,freshness_label,alert_level,alert_reason
2026-03-31,steam昵称简介,14009.0,0.037618673709758,0.0101363409236919,3979.0,142.0,51.0,⚠️,表1_steam昵称简介.xlsx,2026-03-31,Steam,3.7618673709758,1.01363409236919,16875.428571428572,0.03620640875350218,0.011791425643785958,4695.142857142857,-0.1698581200054179,0.03900593858591996,-0.14036341067598407,0,⚠️,True,当日,medium,状态异常
2026-03-31,TapTap-融媒体长文本,44914.0,0.526829051075389,0.00396312953644743,23662.0,,,⚠️,表2_TapTap-融媒体长文本.xlsx,2026-03-31,TapTap,52.6829051075389,0.396312953644743,46833.57142857143,0.651527413641241,0.008540697561662123,30585.285714285714,-0.040987081916207826,-0.1913938845166019,-0.535971212206681,0,⚠️,True,当日,medium,状态异常
2026-03-31,国内小镇舆情,32423.0,0.0730345742220029,6.16846066064214e-05,2368.0,,,⚠️,表2_国内小镇舆情.xlsx,2026-03-31,国内小镇,7.30345742220029,0.00616846066064214,38044.142857142855,0.08213960136844692,0.00021533444872264755,3041.0,-0.1477531739445531,-0.1108482022648533,-0.7135404624186645,0,⚠️,True,当日,medium,状态异常
2026-03-31,海外小镇舆情,631.0,0.973058637083994,0.0,614.0,,,⚠️,表2_海外小镇舆情.xlsx,2026-03-31,海外小镇,97.3058637083994,0.0,533.0,0.9519464215019774,0.0,506.57142857142856,0.18386491557223264,0.02217794521324616,,0,⚠️,True,当日,medium,状态异常
2026-03-31,融媒体短文本,73003.0,0.015382929468652,0.00168486226593428,13871.0,123.0,31.0,⚠️,表1_融媒体短文本.xlsx,2026-03-31,融媒体,1.5382929468652,0.16848622659342802,74972.0,0.013406149721073627,0.002498509368592669,14498.142857142857,-0.026263138238275623,0.1474532053353841,-0.32565301250668927,0,⚠️,True,当日,medium,状态异常
2026-03-31,国内小镇照片,829710.0,0.0102457485145412,7.83406250376638e-05,8501.0,,,⚡,表2_国内小镇照片.xlsx,2026-03-31,国内小镇,1.02457485145412,0.00783406250376638,1201070.5714285714,0.010809645689909303,7.203800198929542e-05,12644.42857142857,-0.3091913000473149,-0.05216611085546449,0.08749025339854537,0,⚡,True,当日,medium,状态异常
2026-03-31,增量昵称简介,101730.0,0.01108817457977,0.00174972967659491,18702.0,178.0,31.0,⚡,表1_增量昵称简介.xlsx,2026-03-31,昵称资料,1.108817457977,0.174972967659491,109526.14285714286,0.01297576495749147,0.00244732141196797,21101.285714285714,-0.07118065745555854,-0.14547045079077844,-0.28504295837958765,0,⚡,True,当日,medium,状态异常
2026-03-15,steam成就标题简介,222.0,0.027027027027027,0.0,58.0,0.0,0.0,🔴,表1_steam成就标题简介.xlsx,2026-03-15,Steam,2.7027027027027,0.0,312.25,0.01611358713831176,0.0,59.0,-0.289031224979984,0.6772818364426988,,16,🔴,True,滞后16天,high,数据滞后
2026-03-31,战绩昵称,40441.0,0.00880294750377093,0.0002472738062857,4640.0,10.0,18836.0,🔴,表1_战绩昵称.xlsx,2026-03-31,战绩,0.8802947503770929,0.02472738062857,33176.857142857145,0.012773171283909035,0.00045917042960204557,5114.714285714285,0.2189521094739017,-0.3108252204477664,-0.4614770674583562,0,🔴,True,当日,high,状态异常
