date,biz_name,total_count,push_rate,violation_rate,review_count,reject_count,error_value,base_status,source_file,day,biz_group,push_rate_pct,violation_rate_pct,total_7d_avg,push_rate_7d_avg,violation_rate_7d_avg,review_7d_avg,total_vs_7d_pct,push_vs_7d_pct,vio_vs_7d_pct
2026-01-14,TapTap-头像-用户资料图片,36902.0,0.422524524416021,0.00514877242425885,15592.0,190.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-14,TapTap,42.2524524416021,0.514877242425885,36902.0,0.422524524416021,0.00514877242425885,15592.0,0.0,0.0,0.0
2026-01-15,TapTap-头像-用户资料图片,35827.0,0.426773104083512,0.00611270829262846,15290.0,219.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-15,TapTap,42.6773104083512,0.611270829262846,36364.5,0.4246488142497665,0.005630740358443655,15441.0,-0.01478089895364985,0.00500246265257676,0.08559583704868634
2026-01-16,TapTap-头像-用户资料图片,49174.0,0.421442225566356,0.0039655102289828,20724.0,195.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-16,TapTap,42.144222556635604,0.39655102289828,40634.333333333336,0.4235799513552963,0.0050756636486233705,17202.0,0.21015889682780564,-0.005046805879504835,-0.21872084056272487
2026-01-17,TapTap-头像-用户资料图片,86515.0,0.414436802866555,0.00382592613997573,35855.0,331.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-17,TapTap,41.4436802866555,0.382592613997573,52104.5,0.421294164233111,0.00476322927146146,21865.25,0.6604132080722395,-0.016276896165980808,-0.19677892414323053
2026-01-18,TapTap-头像-用户资料图片,72263.0,0.4115937616761,0.00478806581514745,29743.0,346.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-18,TapTap,41.15937616761,0.478806581514745,56136.2,0.4193540837217088,0.004768196580198658,23440.8,0.28727986575507436,-0.018505416655865154,0.00416703351353102
2026-01-19,TapTap-头像-用户资料图片,48101.0,0.414461237812104,0.00436581360054885,19936.0,210.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-19,TapTap,41.446123781210396,0.436581360054885,54797.0,0.41853860940344134,0.004701132750257023,22856.666666666668,-0.12219647060970491,-0.009741924639041052,-0.07132730929366773
2026-01-20,TapTap-头像-用户资料图片,49078.0,0.41552222991972,0.00499205346591141,20393.0,245.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-20,TapTap,41.552222991972,0.499205346591141,53980.0,0.41810769804862397,0.004742692852493365,22504.714285714286,-0.0908114116339385,-0.006183737206874628,0.052577854221984764
2026-01-21,TapTap-头像-用户资料图片,48528.0,0.411988954830201,0.00445103857566766,19993.0,216.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-21,TapTap,41.198895483020095,0.445103857566766,55640.857142857145,0.41660261667922116,0.004643016588408909,23133.428571428572,-0.12783514683454608,-0.011074490808041758,-0.04134769046927673
2026-01-22,TapTap-头像-用户资料图片,47951.0,0.410731788700966,0.00500510938249463,19695.0,240.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-22,TapTap,41.0731788700966,0.500510938249463,57372.857142857145,0.4143110001960003,0.004484788172675504,23762.714285714286,-0.16422150842857502,-0.008638948744641299,0.11601912727769183
2026-01-23,TapTap-头像-用户资料图片,55329.0,0.418749661118039,0.00426539427786513,23169.0,236.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-23,TapTap,41.8749661118039,0.426539427786513,58252.142857142855,0.413926348131955,0.004527628751087266,24112.0,-0.05018086397802653,0.011652587490145467,-0.05791872250108028
2026-01-24,TapTap-头像-用户资料图片,85909.0,0.414636417604675,0.00350370741133059,35621.0,301.0,,✓,表2_TapTap-头像-用户资料图片.xlsx,2026-01-24,TapTap,41.4636417604675,0.350370741133059,58165.57142857143,0.4139548645231151,0.00448159750413796,24078.571428571428,0.47697336912606625,0.001646442982002617,-0.21820123112449571
